"Deidentified subject id","gender","timezone","age","race","duration of data collection (days)"
"1b596a47-0d55-46e8-b5cc-42870af4a856","Man","America/Los_Angeles",38,"White",131
"1b887022-271b-46ec-87e6-cb3443823db1","Woman","America/Detroit",23,"Hispanic",15
"1b8870e1-8224-4bdb-b6ba-e8fbf17cb75a","Woman","America/Detroit",19,"Asian",58
"1baac62d-92bd-4bdd-97a8-ac07d04b0e8b","Woman","America/Chicago",21,"White",1
"1bb2a495-41bb-4f6d-8aa6-8b2549b7df7e","Man","America/New_York",55,"Hispanic",938
"1bdcfc74-25bd-49e9-ba09-5e6aa561df43","Woman","America/Detroit",20,"",1
"1bf6d80b-2be5-46d3-8091-b7b7e44c993c","Woman","America/Detroit",23,"Asian",34
"1c06b9f6-7444-469b-80e4-1a5ffd8dfb45","Woman","America/New_York",20,"Black",16
"1c12fe98-5872-48c9-b42d-a83c3828a893","Woman","America/Detroit",26,"White",35
"1c2e1ef9-6b95-4c75-8eae-1a9c6dfc9d03","Woman","America/Detroit",19,"Asian",5
"1c42f7b0-4629-43f6-a3b6-f229a2cf4bb7","Man","America/Detroit",20,"White",6
"1c64de76-30fe-4fbf-a59a-c7d64cfcdaa9","Woman","America/Los_Angeles",35,"White",475
"1c9c19b8-0a3c-44e8-83d5-a8d88c8b77e8","Woman","America/Los_Angeles",22,"Asian",73
"1c9c4599-0325-4dca-93d1-10429519a432","Man","America/Detroit",18,"White",45
"1ca0e2d4-6b18-4969-8599-728302c14344","Woman","America/Chicago",21,"White",2
"1caad489-1ef8-497b-ab8b-4c98aa9d9a99","Man","America/Los_Angeles",43,"Asian",34
"1ccf7e00-ad8a-49b5-96b1-6b8470af041b","Woman","America/New_York",20,"Asian",26
"1d373103-76e2-46c5-aa20-c11f599a1d4b","Man","America/Detroit",21,"Asian",24
"1d4e6ff5-6eae-4373-832f-d2eca436caf7","Woman","Australia/Melbourne",42,"White",93
"1dd3db5c-cf00-45e9-8097-8e68145a7665","Man","America/New_York",22,"White",108
"1e0c82b5-962b-4fe8-b66e-0899fc258239","Woman","America/Los_Angeles",18,"Asian",132
"1e23597b-d790-4ae3-a92d-52eaf16f6fef","Woman","America/Detroit",28,"White",30
"1e354c20-aba8-4930-8a12-1f6813b39bbe","Woman","America/Detroit",19,"White",11
"1e3d1984-8ac3-458c-8efd-867b0d971c67","Woman","America/Los_Angeles",61,"White",37
"1e45a5f7-e113-4231-93de-0acc978e67dd","Woman","America/Detroit",25,"Asian",16
"1e499811-1ed8-431f-886a-6240c6008fba","Woman","America/Detroit",23,"Black",62
"1e6d8be7-9993-406f-bbd6-0183e1a9a9a0","Woman","America/Detroit",23,"Asian",4
"1e923300-cdf4-4663-b7a4-7e5c81ab7c33","Woman","America/New_York",32,"White",883
"1e93a335-8ddb-4bae-ba8f-e2fa583d61e2","Man","America/Detroit",40,"White",245
"1eaf8cc3-4ce7-4704-89d7-63716803230f","Woman","America/Detroit",20,"White",3
"1eb62e45-9c8b-4ae3-bb17-8923c9f6315e","Woman","America/Detroit",20,"Asian",1
"1ec7ee88-775d-4c2f-8cd9-001325b00455","NB","America/Detroit",33,"White",5
"1ed92f65-8d42-455d-992c-42c99a9af707","Woman","America/Detroit",56,"White",887
"1eff4344-f3b6-4070-b608-30c04c8dff19","Man","America/Chicago",24,"Asian",6
"1f01c9f3-38df-41f2-b89e-e2124d1b9af2","Woman","America/New_York",25,"Asian",73
"1f07a97f-82ff-4546-bb27-3decda7e9fe2","Man","America/Detroit",18,"Asian",157
"1f0c5b50-fc07-47e7-981b-9d430a04d7d0","Woman","America/New_York",19,"White",26
"1f5cf766-6ed3-46c5-864a-336266788672","Man","America/Detroit",33,"White",2
"1f75fdef-e66d-4983-aa4d-fe75b3650bc5","Man","America/Detroit",25,"Black",2
"1f9bbb02-430f-40e2-8771-ebcba868745f","Woman","America/Los_Angeles",75,"NativeAmerican",1
"1faa9af6-0193-4ca4-842f-b0e8b3b2ea31","Woman","America/Detroit",22,"White",67
"1fb43d58-95c6-4d5e-b206-1f238ac74827","Woman","America/Detroit",21,"Asian",27
"1ff24faa-c27e-4f2a-9400-43e3d0c0ac9e","Woman","America/Hermosillo",20,"Hispanic",19
"202f0b13-37a8-4f39-a4ae-eca1109773c0","Man","America/Detroit",25,"White",227
"2071333e-0846-44a4-a7ae-316cbd88f0a4","Woman","America/Detroit",21,"",4
"20c78dd4-0e2e-46fa-b800-5aeea7a3bc6a","Woman","America/Toronto",54,"Hispanic",2
"20e14a67-92b7-4bf6-9ec8-5b4ff7ad03c4","Man","America/New_York",24,"Asian",17
"20f35caa-31ba-4595-bca9-0baa360e83f0","Man","America/New_York",18,"White",48
"211d0ebe-58f9-4c25-865c-86721e4a565b","Woman","America/Detroit",19,"Asian",23
"211d1445-f8a3-4eb2-8c5f-7ed1dd38b043","Woman","America/Los_Angeles",21,"White",41
"21752627-8d18-4c76-9f5e-ca9c6eada269","","America/Detroit",22,"",12
"217af070-c4bf-45a5-b4ee-51aa648e94d2","Woman","America/Detroit",24,"White",69
"21b9dbb7-0b45-4cd4-b77b-368cdd83269d","Woman","America/Detroit",19,"Asian",68
"21d51e64-1f91-4497-a474-7b34f9ab8da6","Man","Europe/London",63,"White",215
"21df676e-faf2-466c-bbad-39cec93e1219","Woman","America/New_York",39,"White",82
"21e3a645-251d-45ba-a1f6-9ad3b41cb846","Woman","America/Detroit",19,"White",124
"2214626e-e4d1-4d3f-a197-947c7792dc8f","Woman","America/Detroit",21,"White",12
"221b2eeb-e68d-43c3-a8be-e049e1d88211","Woman","America/Detroit",22,"Asian",88
"224e9a2c-5553-42b7-a32a-4888d5090bc2","Man","America/New_York",43,"White",257
"2262f433-be62-4dcc-bee3-022d6b5df414","Man","America/Detroit",22,"Asian",30
"22740f4a-2e9f-4d93-8515-989b5c27ab33","Man","America/New_York",26,"Black",63
"229ff5e7-3aae-4e67-9897-27b8f87f4c1b","Man","America/New_York",66,"White",15
"22f5088f-abe8-487a-b54d-8511777667d1","Woman","America/Los_Angeles",21,"",99
"231e8ff0-d0e9-4ed7-a1eb-daccc5918ad7","Woman","America/Detroit",19,"Hispanic",4
"23213f92-df35-4e2e-b095-2a5d4e1df671","Woman","America/Chicago",20,"White",56
"237368a3-c5cc-4a66-a787-6cb9fb245f0d","Man","America/Chicago",49,"White",20
"23abb439-838a-47eb-93e4-1e5b2c31e6eb","Man","America/New_York",54,"White",719
"23bf760a-b5a6-460a-a7e1-34787847ba59","Man","America/Detroit",19,"Asian",19
"23ca5efc-0ffd-4341-b8bd-5779a607a192","Man","US/Eastern",18,"White",16
"23d58195-6784-4862-8f9d-1bf9bb189d4f","Woman","America/Detroit",19,"White",7
"23f5502c-34c2-40b8-ae3d-0ca767c95512","Woman","America/New_York",19,"White",56
"240ffb08-a746-4ad1-9d11-ff3bfc8bc0b4","Woman","America/Detroit",21,"Asian",87
"241e79e6-32b7-40c1-960d-5b8f7b9bfb82","Woman","America/Detroit",21,"White",28
"2473268b-a294-4709-863e-a1462cc4888f","Woman","America/Detroit",18,"White",44
"247bdd08-ab27-4a96-a352-3c35b27373d4","Woman","America/Detroit",19,"Asian",518
"247db38a-7379-46cd-a599-7898282b9039","Woman","America/Chicago",25,"Asian",6
"248e1c02-7172-4b42-8812-0dfce672c521","Woman","America/Detroit",0,"Hispanic",7
"249d24a6-9479-4cb1-9ac3-947b7d051497","Man","America/New_York",31,"Hispanic",184
"24b8bef3-14e2-4a78-836f-4b92edad2d39","Woman","America/Chicago",55,"White",806
"24d79a8c-0e3e-4643-a789-d048f765bb81","Woman","America/Detroit",25,"White",34
"24e85e55-c9ea-45e0-87a0-16d4b674c5b4","Woman","America/Detroit",21,"White",60
"25768759-21e4-4d1a-a0e6-023f4b900115","Man","America/New_York",20,"White",3
"2581ffe2-bb6e-45a3-b67f-10b78f895e2e","Woman","Europe/London",25,"White",8
"25867fd0-fd14-477e-b27c-dfb4d553e739","","America/Detroit",27,"",190
"25db913f-fef5-43b5-8dfb-58469b844dcc","Man","America/Fortaleza",29,"Black",390
"2639cac7-5dc6-473b-8677-2443459c4a14","Man","America/Detroit",25,"Asian",146
"26638904-0737-4624-961a-7aa96cf0a06f","Woman","America/Chicago",22,"White",103
"266fa91b-2e7c-4a9e-8d9e-8e3dfae79b5d","NB","America/Detroit",22,"Hispanic",7
"267e99c1-4e4e-4247-b628-2b596da1ec41","Woman","America/Detroit",27,"White",11
"269563c1-c9d6-4eda-80fe-7dc730517ad4","Woman","America/Detroit",18,"White",11
"26bb7a56-5d87-47bf-a3a1-c011aeba09e8","Man","America/New_York",52,"White",33
"26ccfcc1-7b86-47d3-a651-9349f3b70086","Man","America/New_York",45,"White",429
"26db0ec7-3e0e-4c4a-b455-86a24ff36f0e","Man","America/New_York",47,"White",56
"26e972e5-eece-4897-a0b9-a5ec4e1806e4","Woman","America/New_York",19,"White",162
"270a531e-95ed-411c-a8d6-d3f45276e3e9","Woman","Pacific/Honolulu",53,"Asian",115
"271c6b11-0de0-4739-b8ad-841fabe4a781","Woman","America/New_York",19,"White",23
"2724ad26-4170-41aa-a125-1f0eb901f341","Man","Europe/Berlin",68,"White",425
"276c3f49-251d-4516-8559-94c395c92a6f","Woman","America/Chicago",18,"White",12
"277d2efb-84ba-4665-a5de-fbfbd38d0936","Woman","America/New_York",20,"White",1
"282de5a2-6c30-42a5-a5e6-ef55d3d04877","Woman","America/Detroit",21,"Asian",14
"28422053-675d-4b96-8436-995af6091802","Man","Europe/London",44,"White",214
"28847afc-dccf-4b41-87eb-db82e0dfd0db","Woman","America/Detroit",20,"Black",31
"288fe6bc-662d-4c3f-9b06-dcf3dbdc5cca","Woman","America/Santiago",36,"White",501
"28afcbbb-b67f-4814-940f-d4b99043e0a2","Woman","America/Detroit",21,"White",248
"28d83ade-3deb-4fa6-8b51-4fdd18039381","Woman","America/Detroit",20,"Black",106
"28e4db7f-d5d0-4f90-a3db-110016e69a2c","Man","America/Detroit",19,"Asian",131
"28e5edee-1c51-4508-9c15-800aeda183dc","Woman","America/Detroit",21,"White",33
"2940c763-fb74-4958-acc5-b93ea1cd21de","Woman","America/Detroit",26,"White",48
"297dac90-e1c7-4411-a3c1-188f26197d25","Man","America/Toronto",27,"White",56
